Organisation|CC|type|num|1|unknow|status|identification
afrinic|BJ|asn|28683|1|20100311|allocated|F367B8D1
afrinic|BJ|asn|37090|1|20090302|allocated|F36B2F8B
afrinic|BJ|asn|37136|1|20090826|allocated|F36F3383
afrinic|BJ|asn|37292|1|20110225|allocated|F36BC33B
afrinic|BJ|asn|37424|1|20191010|allocated|F3677E0A
afrinic|BJ|asn|327818|1|20141112|allocated|F36B2F8B
afrinic|BJ|asn|328092|1|20161027|allocated|F36776F1
afrinic|BJ|asn|328098|1|20161109|allocated|F3677E0F
afrinic|BJ|asn|328133|1|20170227|allocated|F36897F5
afrinic|BJ|asn|328228|1|20170929|allocated|F367B8D1
afrinic|BJ|asn|328653|1|20200507|allocated|F3679565
afrinic|BJ|asn|328702|1|20200715|allocated|F36CE74A
afrinic|BJ|asn|329055|1|20220421|allocated|F36C29D0
afrinic|BJ|asn|329085|1|20220614|allocated|F36E8D5A
afrinic|BJ|asn|329086|1|20220620|allocated|F36F29FD
afrinic|BJ|asn|329107|1|20220721|allocated|F3692E8E
afrinic|BJ|asn|329156|1|20221013|allocated|F368D3CB
afrinic|BJ|asn|329200|1|20221228|allocated|F36CAA0D
afrinic|BJ|asn|329217|1|20230213|allocated|F36EFAD9
