organisation|CC|version|IP|host_nb|date|status|identification
afrinic|BJ|ipv4|41.74.0.0|4096|20091026|allocated|F36BC33B
afrinic|BJ|ipv4|41.79.216.0|1024|20120223|allocated|F3677E0A
afrinic|BJ|ipv4|41.85.160.0|8192|20110107|allocated|F3660940
afrinic|BJ|ipv4|41.86.224.0|8192|20100709|allocated|F36B2F8B
afrinic|BJ|ipv4|41.138.88.0|1024|20090814|allocated|F36F3383
afrinic|BJ|ipv4|41.190.64.0|1024|20100430|allocated|F361BF5B
afrinic|BJ|ipv4|41.191.84.0|1024|20081118|allocated|F36BC33B
afrinic|BJ|ipv4|41.216.32.0|8192|20100311|allocated|F3660940
afrinic|BJ|ipv4|41.222.192.0|1024|20080523|allocated|F36B2F8B
afrinic|BJ|ipv4|41.223.248.0|1024|20060222|allocated|F36BC33B
afrinic|BJ|ipv4|45.221.224.0|8192|20161027|allocated|F36776F1
afrinic|BJ|ipv4|81.91.224.0|4096|20100311|allocated|F3660940
afrinic|BJ|ipv4|102.38.128.0|8192|20190724|allocated|F36B2F8B
afrinic|BJ|ipv4|137.255.0.0|65536|20160422|allocated|F3660940
afrinic|BJ|ipv4|154.65.28.0|1024|20180221|allocated|F3677E0F
afrinic|BJ|ipv4|154.66.128.0|4096|20131025|allocated|F36B2F8B
afrinic|BJ|ipv4|154.72.112.0|4096|20160602|allocated|F36E635C
afrinic|BJ|ipv4|154.127.32.0|4096|20140606|allocated|F36BC33B
afrinic|BJ|ipv4|156.0.212.0|1024|20170829|allocated|F36F3383
afrinic|BJ|ipv4|160.0.224.0|8192|20170310|allocated|F36CA445
afrinic|BJ|ipv4|160.119.144.0|1024|20170929|allocated|F36AFE01
afrinic|BJ|ipv4|164.160.140.0|1024|20160921|allocated|F3677E0F
afrinic|BJ|ipv4|196.250.64.0|16384|20170317|allocated|F36E635C
afrinic|BJ|ipv4|196.251.152.0|1024|20170227|allocated|F36897F5
afrinic|BJ|ipv4|197.234.216.0|2048|20130110|allocated|F3677E0A
afrinic|BJ|ipv4|196.49.8.0|256|20141112|assigned|F36B2F8B
afrinic|BJ|ipv4|196.192.16.0|4096|20140320|assigned|F3679565
afrinic|BJ|ipv4|196.223.40.0|256|20141112|assigned|F36B2F8B
afrinic|BJ|ipv6|2001:4320::|32|20071023|allocated|F3660940
afrinic|BJ|ipv6|2001:43f8:9a0::|48|20140320|assigned|F3679565
afrinic|BJ|ipv6|2001:43f8:af0::|48|20150828|assigned|F36B2F8B
afrinic|BJ|ipv6|2001:43f8:af1::|48|20150828|assigned|F36B2F8B
afrinic|BJ|ipv6|2c0f:f018::|32|20170227|allocated|F36897F5
afrinic|BJ|ipv6|2c0f:f188::|32|20170929|allocated|F36AFE01
afrinic|BJ|ipv6|2c0f:f1d0::|32|20171103|allocated|F3677E0F
afrinic|BJ|ipv6|2c0f:f260::|32|20160617|allocated|F36E635C
afrinic|BJ|ipv6|2c0f:f770::|32|20141002|allocated|F36BC33B
afrinic|BJ|ipv6|2c0f:f818::|32|20130911|allocated|F36B2F8B
afrinic|BJ|ipv6|2c0f:f9f8::|32|20130829|allocated|F3677E0A
